pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
333.09,520.82,456.03,305.99,816.87,475.95
333.07,520.78,456.03,305.78369,816.95,476.1
333.05,520.73,456.04,305.98,816.97,476.29
333.03,520.68,456.05,306,816.83,476.64
333.02,520.61,456.07,306.01,816.78,476.94
333.01,520.58,456.08,305.78369,816.85,477.08
333,520.46,456.1,305.98,816.89,477.2
332.97,520.18,456.24,305.99,816.92,477.3
332.99,520.14,456.24,305.78369,816.69,477.71
332.97,520.11,456.25,306,816.6,478
332.96,520.1,456.24,306,816.11,478.34
333.02,520.07,456.25,306,815.95,478.68
333.3,520.04,456.24,306,815.87,478.87
333.54,520.02,456.23,306.01,815.9,479.01
333.57,520.01,456.22,306,815.96,479.1
333.56,519.98,456.21,306,815.96,479.24
333.64,519.96,456.2,304.521608,815.95,479.24
333.92,519.91,456.2,304.837129,816.428797,481.591847
333.92,519.89,456.2,304.837129,816.19,482.1
333.9,519.86,456.18,304.99,816,482.24
333.87,519.8,456.19,305.01,815.97,482.39
333.87,519.76,456.19,304.98,815.81,482.69
333.87,519.71,456.22,305,815.73,482.86
333.84,519.62,456.24,304.837129,815.66,482.98
333.82,519.32,456.52,305,815.66,483.05
333.78,519.01,456.99,305.01,815.57,483.18
333.77,518.98,456.98,305.02,815.1,483.42
333.77,518.95,456.97,305.04,815.02,483.76
333.72,518.92,456.97,305.01,814.96,483.89
333.72,518.89,456.97,305.01,814.91,483.96
333.67,518.83,456.95,305.01,814.86,484.03
333.72,518.78,456.96,305.152649,814.82,484.11
333.97,518.72,456.95,304.98,815.746412,484.624264
333.95,518.64,456.98,305.03,815.98,485.05
333.92,518.55,456.99,305,815.94,485.12
333.92,518.25,457.13,302.944006,815.88,485.19
333.88,518.21,457.13,303.02,815.86,485.28
333.85,518.16,457.14,302.99,815.8,485.39
333.85,518.13,457.12,302.99,815.69,485.56
333.82,518.09,457.12,303.890567,815.59,485.77
333.79,518.06,457.1,304.01,815.08,485.87
333.78,518.04,457.09,304,815.06,485.92
333.76,518.01,457.08,304.02,815.04,485.96
333.77,517.97,457.07,305.152649,814.97,486.02
333.75,517.95,457.05,304.99,814.96,486.03
333.76,517.92,457.04,305,814.94,486.09
333.76,517.88,457.03,305,814.88,486.16
334,517.84,457.02,305.01,814.8,486.21
333.98,517.78,457.03,305.152649,814.78,486.31
333.96,517.73,457.02,305,813.016872,486.98281
333.95,517.66,457.02,305.02,812.36,486.85
